epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,162.764,1.34702,2.37281,1.09328,0.58135,0.4366,0.47992,0.27181,1.26789,1.61723,1.06412,0.000472118,0.000472118,0.000472118
2,313.832,1.26719,1.59,1.06674,0.6426,0.61887,0.61495,0.35777,1.22577,0.99697,1.07541,0.000854555,0.000854555,0.000854555
3,463.762,1.25568,1.36206,1.06541,0.7383,0.65296,0.72861,0.42954,1.21868,0.86601,1.061,0.00114268,0.00114268,0.00114268
4,614.089,1.24439,1.17941,1.06663,0.80175,0.76256,0.79074,0.48505,1.2195,0.77226,1.05883,0.00100459,0.00100459,0.00100459
5,764.43,1.21357,1.04783,1.05452,0.83756,0.74492,0.79689,0.48414,1.20206,0.70575,1.05304,0.000863116,0.000863116,0.000863116
6,914.101,1.2136,0.92889,1.04714,0.88334,0.75837,0.83106,0.51202,1.15333,0.66409,1.04145,0.000721645,0.000721645,0.000721645
7,1061.78,1.18823,0.85565,1.03774,0.85688,0.78061,0.8436,0.52751,1.17331,0.65808,1.04772,0.000580174,0.000580174,0.000580174
8,1212.25,1.17723,0.8067,1.03374,0.86922,0.80072,0.85892,0.5464,1.12847,0.60603,1.02459,0.000438703,0.000438703,0.000438703
9,1362.34,1.14069,0.7557,1.01697,0.89123,0.81311,0.86605,0.55834,1.1181,0.59085,1.02042,0.000297232,0.000297232,0.000297232
10,1511.68,1.12516,0.73155,1.00911,0.88818,0.82531,0.87296,0.56132,1.11437,0.57903,1.01773,0.000155761,0.000155761,0.000155761
